"Date" "Open" "High" "Low" "Close" "Volume"
"1" "1-Mar-12" "548.17" "548.21" "538.77" 544.47 24401884
"2" "29-Feb-12" "541.56" "547.61" "535.70" 542.44 34000054
"3" "28-Feb-12" "527.96" "535.41" "525.85" 535.41 21442354
"4" "27-Feb-12" "521.31" "528.50" "516.28" 525.76 19556472
"5" "24-Feb-12" "519.67" "522.90" "518.64" 522.41 14831415
"6" "23-Feb-12" "515.08" "517.83" "509.50" 516.39 20286616
"7" "22-Feb-12" "513.08" "515.49" "509.07" 513.04 17260544
"8" "21-Feb-12" "506.88" "514.85" "504.12" 514.85 21628057
"9" "17-Feb-12" "503.11" "507.77" "500.30" 502.12 19135313
"10" "16-Feb-12" "491.50" "504.89" "486.63" 502.21 33733915
"11" "15-Feb-12" "514.26" "526.29" "496.89" 497.67 53789720
"12" "14-Feb-12" "504.66" "509.56" "502.00" 509.46 16497573
"13" "13-Feb-12" "499.53" "503.83" "497.09" 502.6 18471658
"14" "10-Feb-12" "490.96" "497.62" "488.55" 493.42 22546425
"15" "9-Feb-12" "480.76" "496.75" "480.56" 493.17 31579086
"16" "8-Feb-12" "470.50" "476.79" "469.70" 476.68 14567040
"17" "7-Feb-12" "465.25" "469.75" "464.58" 468.83 11293609
"18" "6-Feb-12" "458.38" "464.98" "458.20" 463.97 8917228
"19" "3-Feb-12" "457.30" "460.00" "455.56" 459.68 10245287
"20" "2-Feb-12" "455.90" "457.17" "453.98" 455.12 6671221
"21" "1-Feb-12" "458.41" "458.99" "455.55" 456.19 9644366
"22" "31-Jan-12" "455.59" "458.24" "453.07" 456.48 13996855
"23" "30-Jan-12" "445.71" "453.90" "445.39" 453.01 13547439
"24" "27-Jan-12" "444.34" "448.48" "443.77" 447.28 10710233
"25" "26-Jan-12" "448.36" "448.79" "443.14" 444.63 11579673
"26" "25-Jan-12" "454.44" "454.45" "443.73" 446.66 34223691
"27" "24-Jan-12" "425.10" "425.10" "419.55" 420.41 19558473
"28" "23-Jan-12" "422.67" "428.45" "422.30" 427.41 10930778
"29" "20-Jan-12" "427.49" "427.50" "419.75" 420.3 14784607
"30" "19-Jan-12" "430.15" "431.37" "426.51" 427.75 9347779
"31" "18-Jan-12" "426.96" "429.47" "426.30" 429.11 9885394
"32" "17-Jan-12" "424.20" "425.99" "422.96" 424.7 8674865
"33" "13-Jan-12" "419.70" "420.45" "418.66" 419.81 8077107
"34" "12-Jan-12" "422.28" "422.90" "418.75" 421.39 7597273
"35" "11-Jan-12" "422.68" "422.85" "419.31" 422.55 7685437
"36" "10-Jan-12" "425.91" "426.00" "421.50" 423.24 9225966
