"","Date","Open","High","Low","Close","Volume"
"2162","19-Aug-04","100.01","104.06","95.96",100.34,22353092
"2161","20-Aug-04","101.48","109.08","100.50",108.31,11429498
"2160","23-Aug-04","110.76","113.48","109.05",109.4,9140244
"2159","24-Aug-04","111.24","111.60","103.57",104.87,7632224
"2158","25-Aug-04","104.96","108.00","103.88",106,4599110
"2157","26-Aug-04","104.95","107.95","104.66",107.91,3551168
"2156","27-Aug-04","108.10","108.62","105.69",106.15,3108977
"2155","30-Aug-04","105.49","105.49","102.01",102.01,2601620
"2154","31-Aug-04","102.32","103.71","102.16",102.37,2463427
"2153","1-Sep-04","102.70","102.97","99.67",100.25,4574578
"2152","2-Sep-04","99.09","102.37","98.94",101.51,7567013
"2151","3-Sep-04","100.95","101.74","99.32",100.01,2578705
"2150","7-Sep-04","101.01","102.00","99.61",101.58,2927073
"2149","8-Sep-04","100.74","103.03","100.50",102.3,2495226
"2148","9-Sep-04","102.50","102.71","101.00",102.31,2032853
"2147","10-Sep-04","101.60","106.56","101.30",105.33,4353885
"2146","13-Sep-04","106.63","108.41","106.46",107.5,3927322
"2145","14-Sep-04","107.44","112.00","106.79",111.49,5488357
"2144","15-Sep-04","110.56","114.23","110.20",112,5362452
"2143","16-Sep-04","112.34","115.80","111.65",113.97,4637786
"2142","17-Sep-04","114.42","117.49","113.55",117.49,4748627
"2141","20-Sep-04","116.95","121.60","116.77",119.36,5332562
"2140","21-Sep-04","120.20","120.42","117.51",117.84,3617903
"2139","22-Sep-04","117.45","119.67","116.81",118.38,3794393
"2138","23-Sep-04","118.84","122.63","117.02",120.82,4273082
"2137","24-Sep-04","120.97","124.10","119.76",119.83,4566707
"2136","27-Sep-04","119.56","120.88","117.80",118.26,3536818
"2135","28-Sep-04","121.15","127.40","120.21",126.86,8476027
"2134","29-Sep-04","126.53","135.02","126.23",131.08,15274991
"2133","30-Sep-04","129.90","132.30","129.00",129.6,6890125
"2132","1-Oct-04","130.80","134.24","128.90",132.58,7571329
"2131","4-Oct-04","135.82","136.87","134.03",135.06,6541875
"2130","5-Oct-04","134.66","138.53","132.24",138.37,7507251
"2129","6-Oct-04","137.67","138.45","136.00",137.08,6699883
"2128","7-Oct-04","136.56","139.88","136.55",138.85,7066873
"2127","8-Oct-04","138.73","139.68","137.02",137.73,5543874
"2126","11-Oct-04","137.01","138.86","133.85",135.26,5249263
"2125","12-Oct-04","134.49","137.61","133.40",137.4,5920143
"2124","13-Oct-04","143.32","143.55","140.08",140.9,9894833
"2123","14-Oct-04","141.02","142.38","138.56",142,5234304
"2122","15-Oct-04","144.95","145.50","141.95",144.11,6604448
"2121","18-Oct-04","143.20","149.20","141.21",149.16,7032780
"2120","19-Oct-04","150.50","152.40","147.35",147.94,9069401
"2119","20-Oct-04","147.94","148.99","139.60",140.49,11389627
"2118","21-Oct-04","144.13","150.13","141.62",149.38,14998000
"2117","22-Oct-04","170.44","180.17","164.08",172.43,36919841
"2116","25-Oct-04","176.28","194.43","172.55",187.4,32775277
"2115","26-Oct-04","186.45","192.64","180.00",181.8,22313860
"2114","27-Oct-04","182.29","189.52","181.77",185.97,13373482
"2113","28-Oct-04","186.63","194.39","185.60",193.3,14856604
"2112","29-Oct-04","198.87","199.95","190.60",190.64,21183466
"2111","1-Nov-04","193.50","197.67","191.27",196.03,12233618
"2110","2-Nov-04","198.73","199.25","193.34",194.87,11365995
"2109","3-Nov-04","198.19","201.60","190.75",191.67,13897606
"2108","4-Nov-04","188.25","190.40","183.35",184.7,14474388
"2107","5-Nov-04","182.00","182.30","168.55",169.35,19852002
"2106","8-Nov-04","170.93","175.44","169.40",172.55,11200077
"2105","9-Nov-04","174.10","175.20","165.27",168.7,11160536
"2104","10-Nov-04","170.67","172.52","166.33",167.86,10651413
"2103","11-Nov-04","169.13","183.75","167.57",183.02,15023209
"2102","12-Nov-04","185.23","189.80","177.40",182,16746068
"2101","15-Nov-04","180.45","188.32","178.75",184.87,11901512
"2100","16-Nov-04","177.50","179.47","170.83",172.54,20928809
"2099","17-Nov-04","169.02","177.50","169.00",172.5,18137867
"2098","18-Nov-04","170.40","174.42","165.73",167.54,16633270
"2097","19-Nov-04","169.06","169.98","166.52",169.4,8816609
"2096","22-Nov-04","168.64","169.50","161.31",165.1,12372104
"2095","23-Nov-04","167.92","170.83","166.50",167.52,12426573
"2094","24-Nov-04","174.84","177.21","172.51",174.76,15290473
"2093","26-Nov-04","175.80","180.03","175.32",179.39,6480025
"2092","29-Nov-04","180.26","182.95","177.51",181.05,10669849
"2091","30-Nov-04","180.70","183.00","180.25",181.98,7745574
"2090","1-Dec-04","181.77","182.50","179.55",179.96,7868147
"2089","2-Dec-04","179.90","181.51","178.55",179.4,6270626
"2088","3-Dec-04","180.00","181.06","177.60",180.4,5873733
"2087","6-Dec-04","179.13","180.70","176.02",176.29,6257535
"2086","7-Dec-04","176.00","176.20","170.55",171.43,6872138
"2085","8-Dec-04","170.57","173.68","168.73",169.98,7542204
"2084","9-Dec-04","170.25","173.50","168.47",173.43,7654902
"2083","10-Dec-04","173.43","174.88","171.29",171.65,4320465
"2082","13-Dec-04","172.03","173.18","169.45",170.45,4818789
"2081","14-Dec-04","171.00","178.82","169.60",178.69,11102401
"2080","15-Dec-04","177.99","180.69","176.66",179.78,11545863
"2079","16-Dec-04","177.22","180.49","175.95",176.47,8577261
"2078","17-Dec-04","176.76","180.50","176.55",180.08,7417654
"2077","20-Dec-04","182.00","188.46","181.87",185.02,9840211
"2076","21-Dec-04","186.28","187.88","183.40",183.75,5524667
"2075","22-Dec-04","183.90","186.85","183.01",186.3,3910203
"2074","23-Dec-04","187.45","188.60","186.00",187.9,3615676
"2073","27-Dec-04","189.15","193.30","189.10",191.91,6105595
"2072","28-Dec-04","192.11","193.55","191.01",192.76,4148098
"2071","29-Dec-04","191.97","193.52","191.78",192.9,2679281
"2070","30-Dec-04","192.97","198.23","191.85",197.6,5904978
"2069","31-Dec-04","199.23","199.88","192.56",192.79,7677229
"2068","3-Jan-05","197.40","203.64","195.46",202.71,15860692
"2067","4-Jan-05","201.33","202.93","193.48",194.5,13762396
"2066","5-Jan-05","193.45","196.90","192.23",193.51,8239545
"2065","6-Jan-05","195.25","195.90","187.72",188.55,10389803
"2064","7-Jan-05","190.64","194.25","188.78",193.85,9666175
"2063","10-Jan-05","194.50","198.10","191.83",195.06,7554795
"2062","11-Jan-05","195.62","197.71","193.18",193.54,6962544
"2061","12-Jan-05","194.33","195.93","190.50",195.38,8361295
"2060","13-Jan-05","195.38","197.39","194.05",195.33,6852573
"2059","14-Jan-05","196.00","200.01","194.13",199.97,9643747
"2058","18-Jan-05","200.89","205.02","198.66",203.9,13237127
"2057","19-Jan-05","204.64","205.30","196.71",197.3,11351583
"2056","20-Jan-05","192.58","196.25","192.00",193.92,9003777
"2055","21-Jan-05","194.44","195.36","188.12",188.28,9294685
"2054","24-Jan-05","188.69","189.33","180.32",180.72,14034232
"2053","25-Jan-05","182.20","182.24","176.29",177.12,10696013
"2052","26-Jan-05","179.27","189.41","179.15",189.24,12345935
"2051","27-Jan-05","188.76","188.86","185.20",188.08,6631221
"2050","28-Jan-05","190.02","194.70","186.34",190.34,12212727
"2049","31-Jan-05","193.69","196.36","191.72",195.62,9600561
"2048","1-Feb-05","194.38","203.75","190.63",191.9,19153969
"2047","2-Feb-05","215.55","216.80","203.66",205.96,32874261
"2046","3-Feb-05","205.99","213.37","205.81",210.86,13005885
"2045","4-Feb-05","206.47","207.75","202.60",204.36,14823134
"2044","7-Feb-05","205.26","206.40","195.51",196.03,12981698
"2043","8-Feb-05","196.96","200.02","194.53",198.64,11493216
"2042","9-Feb-05","200.76","201.60","189.46",191.58,17310425
"2041","10-Feb-05","191.97","192.21","185.25",187.98,18986725
"2040","11-Feb-05","186.66","192.32","186.07",187.4,13126137
"2039","14-Feb-05","182.85","193.08","181.00",192.99,38576169
"2038","15-Feb-05","193.60","199.84","193.08",195.23,25857576
"2037","16-Feb-05","194.70","199.33","194.30",198.41,16653921
"2036","17-Feb-05","197.83","199.75","196.81",197.9,10426333
"2035","18-Feb-05","198.51","198.84","196.66",197.95,8507046
"2034","22-Feb-05","196.50","198.90","190.39",191.37,13506512
"2033","23-Feb-05","193.30","194.48","188.66",193.95,15650711
"2032","24-Feb-05","183.37","189.85","182.23",188.89,25837038
"2031","25-Feb-05","189.15","189.92","185.51",185.87,9983901
"2030","28-Feb-05","186.00","189.87","185.85",187.99,7824418
"2029","1-Mar-05","189.29","189.75","185.39",186.06,9431762
"2028","2-Mar-05","185.95","187.67","184.36",185.18,7325936
"2027","3-Mar-05","186.13","187.75","184.31",187,7612159
"2026","4-Mar-05","186.70","187.25","185.07",185.9,6778129
"2025","7-Mar-05","187.78","189.60","187.03",188.81,8710529
"2024","8-Mar-05","189.10","189.85","184.97",185.2,8046020
"2023","9-Mar-05","184.21","184.65","180.16",181.35,11375297
"2022","10-Mar-05","181.01","181.20","177.40",179.98,10964011
"2021","11-Mar-05","180.44","180.95","177.15",177.8,8030469
"2020","14-Mar-05","178.33","178.40","172.57",174.99,11146592
